baseline_id,stage,candidate_id,gaussian_k,gaussian_sigma,median_k,canny_t1,canny_t2,sobel_k,threshold,erode_r,dilate_r,cc_area,cc_aspect,mean_f1,std_f1,min_f1,max_f1,mean_precision,mean_recall,invalid_images,elapsed_sec,stage_winner,final_winner
B0,stage1_full,1,3.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,30.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.2369349988,0.2189212686,0.0000000000,0.5710228495,0.4941313186,0.1899639724,0,0.0162276000,0,0
B0,stage1_full,2,3.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,50.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3245329758,0.3209822890,0.0000000000,0.7935066722,0.4664162763,0.3706477114,0,0.0024220000,0,0
B0,stage1_full,3,3.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,70.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3213424498,0.3219940302,0.0000000000,0.8557150179,0.4744912359,0.4467872017,0,0.0023993000,0,0
B0,stage1_full,4,3.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,90.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3266586787,0.2683050217,0.0060744115,0.8671752028,0.4765953542,0.5316243772,0,0.0024321000,0,0
B0,stage1_full,5,3.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,110.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3437224142,0.2251421229,0.0314919576,0.8301396895,0.3091738637,0.6770771569,0,0.0024929000,0,0
B0,stage1_full,6,3.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,130.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.1296307098,0.0879600780,0.0247841911,0.3911748782,0.0727655823,0.8694438231,0,0.0029695000,0,0
B0,stage1_full,7,3.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,150.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0652226217,0.0596096772,0.0128713236,0.1996002284,0.0348587812,0.9573254393,0,0.0022091000,0,0
B0,stage1_full,8,3.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,170.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0572523178,0.0541259335,0.0108870519,0.1803741850,0.0303552088,0.9814338135,0,0.0022856000,0,0
B0,stage1_full,9,3.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,190.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0547602783,0.0500519721,0.0108762178,0.1660049036,0.0288775076,0.9924625955,0,0.0022125000,0,0
B0,stage1_full,10,3.0000000000,1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,210.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0531035079,0.0473642156,0.0108686389,0.1561016335,0.0279096251,0.9968286615,0,0.0023293000,0,0
B0,stage1_full,11,3.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,30.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.2351063471,0.2178325464,0.0000000000,0.5709687242,0.4980842531,0.1861495188,0,0.0024519000,0,0
B0,stage1_full,12,3.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,50.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3260960379,0.3211520933,0.0000000000,0.7942551009,0.4688697430,0.3692195071,0,0.0023208000,0,0
B0,stage1_full,13,3.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,70.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3225730885,0.3234331544,0.0000000000,0.8567034094,0.4615969004,0.4459356157,0,0.0032368000,0,0
B0,stage1_full,14,3.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,90.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3237517186,0.2713468761,0.0015243902,0.8689538126,0.4738523481,0.5287901954,0,0.0026978000,0,0
B0,stage1_full,15,3.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,110.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3470492889,0.2288162736,0.0319532726,0.8368912783,0.3177578736,0.6748879094,0,0.0025142000,0,0
B0,stage1_full,16,3.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,130.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.1312831107,0.0891146357,0.0249391605,0.3976752700,0.0738035813,0.8718608809,0,0.0023648000,0,0
B0,stage1_full,17,3.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,150.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0650974213,0.0594776111,0.0128483057,0.1992095504,0.0347807452,0.9590306209,0,0.0025782000,0,0
B0,stage1_full,18,3.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,170.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0570891137,0.0538675008,0.0108778616,0.1796188207,0.0302567035,0.9824008676,0,0.0024839000,0,0
B0,stage1_full,19,3.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,190.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0546061154,0.0498027967,0.0108748539,0.1652372538,0.0287868677,0.9930360330,0,0.0026502000,0,0
B0,stage1_full,20,3.0000000000,1.5000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,210.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0530019856,0.0471992271,0.0108684209,0.1553844075,0.0278506433,0.9971219982,0,0.0024355000,0,0
B0,stage1_full,21,3.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,30.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.2341739503,0.2173666023,0.0000000000,0.5704557360,0.4993001408,0.1845183857,0,0.0108765000,0,0
B0,stage1_full,22,3.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,50.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3264771761,0.3209723599,0.0000000000,0.7945705486,0.4696536514,0.3686643841,0,0.0116009000,0,0
B0,stage1_full,23,3.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,70.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3228365516,0.3240198012,0.0000000000,0.8562267539,0.4495240186,0.4456088926,0,0.0111560000,0,0
B0,stage1_full,24,3.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,90.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3227219005,0.2726821482,0.0015267176,0.8698605215,0.4725177854,0.5279385454,0,0.0097889000,0,0
B0,stage1_full,25,3.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,110.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.3477334053,0.2294876267,0.0321300070,0.8394622587,0.3196789573,0.6745928722,0,0.0097517000,0,0
B0,stage1_full,26,3.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,130.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.1318543664,0.0895559418,0.0249710517,0.3997426057,0.0741639454,0.8724934379,0,0.0107365000,0,0
B0,stage1_full,27,3.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,150.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0650593184,0.0594292588,0.0128644417,0.1990783286,0.0347566746,0.9597754685,0,0.0103793000,0,0
B0,stage1_full,28,3.0000000000,2.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,170.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,-1.0000000000,0.0570289264,0.0537704599,0.0108739591,0.1792903486,0.0302209095,0.9826499357,0,0.0093257000,0,0
