baseline_id,selected_candidate_id,image_id,tp,fp,fn,invalid_pixels,precision_standard,recall_standard,f1_standard,result_image
B0,45,111,521,597,788,0,0.4660107335,0.3980137510,0.4293366296,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00111.png
B0,45,112,406,601,959,0,0.4031777557,0.2974358974,0.3423271501,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00112.png
B0,45,113,220,123,1122,0,0.6413994169,0.1639344262,0.2611275964,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00113.png
B0,45,114,765,327,574,0,0.7005494505,0.5713218820,0.6293706294,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00114.png
B0,45,115,809,859,994,0,0.4850119904,0.4486966167,0.4661480841,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00115.png
B0,45,116,118,286,1170,0,0.2920792079,0.0916149068,0.1394799054,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00116.png
B0,45,117,677,246,1097,0,0.7334777898,0.3816234498,0.5020393029,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00117.png
B0,45,118,281,816,803,0,0.2561531449,0.2592250923,0.2576799633,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00118.png
B0,45,119,13759,71101,1964,0,0.1621376385,0.8750874515,0.2735849995,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00119.png
B0,45,120,1219,66263,83,0,0.0180640763,0.9362519201,0.0354442894,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00120.png
B0,45,121,11669,84941,1593,0,0.1207845979,0.8798823707,0.2124108053,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00121.png
B0,45,122,12811,74644,1179,0,0.1464867646,0.9157255182,0.2525703583,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00122.png
B0,45,123,11070,74415,1098,0,0.1294964029,0.9097633136,0.2267211453,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00123.png
B0,45,124,2176,76608,397,0,0.0276198213,0.8457054023,0.0534926312,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00124.png
B0,45,125,8179,904,1265,0,0.9004734119,0.8660525201,0.8829276192,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00125.png
B0,45,126,5947,22030,1304,0,0.2125674661,0.8201627362,0.3376291586,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00126.png
B0,45,127,4542,113175,662,0,0.0385840618,0.8727901614,0.0739011235,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00127.png
B0,45,128,3742,1792,722,0,0.6761835923,0.8382616487,0.7485497099,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00128.png
B0,45,129,3854,1039,501,0,0.7876558349,0.8849598163,0.8334775087,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00129.png
B0,45,130,5531,74658,808,0,0.0689745476,0.8725351002,0.1278430104,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B0_train_crack_00130.png
B1,170,111,368,188702,941,0,0.0019463691,0.2811306341,0.0038659726,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00111.png
B1,170,112,512,189152,853,0,0.0026995107,0.3750915751,0.0053604427,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00112.png
B1,170,113,468,192205,874,0,0.0024289859,0.3487332340,0.0048243692,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00113.png
B1,170,114,169,188224,1170,0,0.0008970609,0.1262135922,0.0017814602,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00114.png
B1,170,115,503,186139,1300,0,0.0026949990,0.2789794786,0.0053384277,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00115.png
B1,170,116,1099,191550,189,0,0.0057046753,0.8532608696,0.0113335774,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00116.png
B1,170,117,429,192182,1345,0,0.0022272871,0.2418263811,0.0044139208,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00117.png
B1,170,118,256,187057,828,0,0.0013666964,0.2361623616,0.0027176654,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00118.png
B1,170,119,5679,3613,10044,0,0.6111708997,0.3611906125,0.4540475715,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00119.png
B1,170,120,395,2488,907,0,0.1370100590,0.3033794163,0.1887694146,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00120.png
B1,170,121,2319,5177,10943,0,0.3093649947,0.1748605037,0.2234319299,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00121.png
B1,170,122,5338,2425,8652,0,0.6876207652,0.3815582559,0.4907828805,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00122.png
B1,170,123,3834,2310,8334,0,0.6240234375,0.3150887574,0.4187418087,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00123.png
B1,170,124,432,2868,2141,0,0.1309090909,0.1678973960,0.1471139111,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00124.png
B1,170,125,2463,165604,6981,0,0.0146548698,0.2608005083,0.0277503929,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00125.png
B1,170,126,1103,136331,6148,0,0.0080256705,0.1521169494,0.0152469157,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00126.png
B1,170,127,2597,156723,2607,0,0.0163005272,0.4990392006,0.0315698621,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00127.png
B1,170,128,1642,152410,2822,0,0.0106587386,0.3678315412,0.0207171516,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00128.png
B1,170,129,1874,180207,2481,0,0.0102921227,0.4303099885,0.0201034135,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00129.png
B1,170,130,2117,165831,4222,0,0.0126050921,0.3339643477,0.0242932634,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B1_train_crack_00130.png
B2,464,111,363,175790,946,0,0.0020607086,0.2773109244,0.0040910167,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00111.png
B2,464,112,432,176484,933,0,0.0024418368,0.3164835165,0.0048462820,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00112.png
B2,464,113,446,179362,896,0,0.0024804236,0.3323397914,0.0049240961,./imgs_0710_2026_v1/output/traditional_baseline/calibration/best_resImgs/frozen_B2_train_crack_00113.png
