run_id,train_size,seed,image_id,tp,fp,fn,precision_standard,recall_standard,f1_standard,precision_legacy,recall_legacy,f1_legacy,result_image
levelA_M0_fixedparam,0,0,211,9,0,2487,1.0000000000,0.0036057692,0.0071856287,0.9000000000,0.0036057692,0.0071827614,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00211.png
levelA_M0_fixedparam,0,0,212,69,0,3270,1.0000000000,0.0206648697,0.0404929577,0.9857142857,0.0206648697,0.0404810795,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00212.png
levelA_M0_fixedparam,0,0,213,0,0,1015,0.0000000000,0.0000000000,0.0000000000,0.5000000000,0.0009842520,0.0019646365,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00213.png
levelA_M0_fixedparam,0,0,214,40,0,3332,1.0000000000,0.0118623962,0.0234466589,0.9756097561,0.0118623962,0.0234397890,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00214.png
levelA_M0_fixedparam,0,0,215,0,0,785,0.0000000000,0.0000000000,0.0000000000,0.5000000000,0.0012722646,0.0025380711,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00215.png
levelA_M0_fixedparam,0,0,216,12,0,4773,1.0000000000,0.0025078370,0.0050031270,0.9230769231,0.0025078370,0.0050020842,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00216.png
levelA_M0_fixedparam,0,0,217,3,0,1861,1.0000000000,0.0016094421,0.0032137118,0.7500000000,0.0016094421,0.0032119914,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00217.png
levelA_M0_fixedparam,0,0,218,0,0,2594,0.0000000000,0.0000000000,0.0000000000,0.5000000000,0.0003853565,0.0007701194,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00218.png
levelA_M0_fixedparam,0,0,219,21,0,3434,1.0000000000,0.0060781476,0.0120828539,0.9545454545,0.0060781476,0.0120793788,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00219.png
levelA_M0_fixedparam,0,0,220,20,0,1373,1.0000000000,0.0143575018,0.0283085633,0.9523809524,0.0143575018,0.0282885431,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00220.png
levelA_M0_fixedparam,0,0,221,185,0,7070,1.0000000000,0.0254996554,0.0497311828,0.9946236559,0.0254996554,0.0497244994,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00221.png
levelA_M0_fixedparam,0,0,222,6,0,3368,1.0000000000,0.0017783047,0.0035502959,0.8571428571,0.0017783047,0.0035492458,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00222.png
levelA_M0_fixedparam,0,0,223,4,0,1047,1.0000000000,0.0038058991,0.0075829384,0.8000000000,0.0038058991,0.0075757576,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00223.png
levelA_M0_fixedparam,0,0,224,46,0,4985,1.0000000000,0.0091433115,0.0181209376,0.9787234043,0.0091433115,0.0181173690,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00224.png
levelA_M0_fixedparam,0,0,225,3,0,4108,1.0000000000,0.0007297495,0.0014584346,0.7500000000,0.0007297495,0.0014580802,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00225.png
levelA_M0_fixedparam,0,0,226,5,0,684,1.0000000000,0.0072568940,0.0144092219,0.8333333333,0.0072568940,0.0143884892,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00226.png
levelA_M0_fixedparam,0,0,227,40,0,3862,1.0000000000,0.0102511533,0.0202942669,0.9756097561,0.0102511533,0.0202891200,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00227.png
levelA_M0_fixedparam,0,0,228,0,0,3958,0.0000000000,0.0000000000,0.0000000000,0.5000000000,0.0002525890,0.0005049230,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00228.png
levelA_M0_fixedparam,0,0,229,5,0,4978,1.0000000000,0.0010034116,0.0020048115,0.8333333333,0.0010034116,0.0020044097,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00229.png
levelA_M0_fixedparam,0,0,230,2,0,3674,1.0000000000,0.0005440696,0.0010875476,0.6666666667,0.0005440696,0.0010872520,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00230.png
levelA_M0_fixedparam,0,0,231,1,0,4169,1.0000000000,0.0002398082,0.0004795013,0.5000000000,0.0002398082,0.0004793864,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00231.png
levelA_M0_fixedparam,0,0,232,0,0,1363,0.0000000000,0.0000000000,0.0000000000,0.5000000000,0.0007331378,0.0014641288,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00232.png
levelA_M0_fixedparam,0,0,233,2,0,2604,1.0000000000,0.0007674597,0.0015337423,0.6666666667,0.0007674597,0.0015331545,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00233.png
levelA_M0_fixedparam,0,0,234,81,0,3398,1.0000000000,0.0232825525,0.0455056180,0.9878048780,0.0232825525,0.0454928391,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00234.png
levelA_M0_fixedparam,0,0,235,0,0,2844,0.0000000000,0.0000000000,0.0000000000,0.5000000000,0.0003514938,0.0007024939,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00235.png
levelA_M0_fixedparam,0,0,236,226,0,9848,1.0000000000,0.0224339885,0.0438834951,0.9955947137,0.0224339885,0.0438792350,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00236.png
levelA_M0_fixedparam,0,0,237,15,0,4267,1.0000000000,0.0035030360,0.0069816151,0.9375000000,0.0035030360,0.0069799907,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00237.png
levelA_M0_fixedparam,0,0,238,27,0,2764,1.0000000000,0.0096739520,0.0191625266,0.9642857143,0.0096739520,0.0191557290,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00238.png
levelA_M0_fixedparam,0,0,239,36,0,2752,1.0000000000,0.0129124821,0.0254957507,0.9729729730,0.0129124821,0.0254867257,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00239.png
levelA_M0_fixedparam,0,0,240,36,0,4266,1.0000000000,0.0083682008,0.0165975104,0.9729729730,0.0083682008,0.0165936852,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00240.png
levelA_M0_fixedparam,0,0,241,9,0,3059,1.0000000000,0.0029335072,0.0058498538,0.9000000000,0.0029335072,0.0058479532,./imgs_0710_2026_v1/output/traditional_baseline/levelA_fixedparam/primary200/resImgs/levelA_M0_fixedparam_primary200_crack_00241.png
