run_id,train_size,seed,image_id,tp,fp,fn,precision_standard,recall_standard,f1_standard,precision_legacy,recall_legacy,f1_legacy,result_image
baseline_B0_gaussian_threshold,0,0,211,2372,60622,124,0.0376543798,0.9503205128,0.0724385402,0.0376543798,0.9503205128,0.0724385402,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00211.png
baseline_B0_gaussian_threshold,0,0,212,3041,77080,298,0.0379550929,0.9107517221,0.0728732327,0.0379550929,0.9107517221,0.0728732327,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00212.png
baseline_B0_gaussian_threshold,0,0,213,928,44663,87,0.0203548946,0.9142857143,0.0398231987,0.0203548946,0.9142857143,0.0398231987,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00213.png
baseline_B0_gaussian_threshold,0,0,214,3002,59178,370,0.0482791894,0.8902728351,0.0915914083,0.0482791894,0.8902728351,0.0915914083,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00214.png
baseline_B0_gaussian_threshold,0,0,215,719,85629,66,0.0083267707,0.9159235669,0.0165035061,0.0083267707,0.9159235669,0.0165035061,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00215.png
baseline_B0_gaussian_threshold,0,0,216,4259,73978,526,0.0544371589,0.8900731452,0.1025993110,0.0544371589,0.8900731452,0.1025993110,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00216.png
baseline_B0_gaussian_threshold,0,0,217,1728,68610,136,0.0245670903,0.9270386266,0.0478657101,0.0245670903,0.9270386266,0.0478657101,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00217.png
baseline_B0_gaussian_threshold,0,0,218,2060,59229,534,0.0336112516,0.7941403238,0.0644929011,0.0336112516,0.7941403238,0.0644929011,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00218.png
baseline_B0_gaussian_threshold,0,0,219,3246,46902,209,0.0647284039,0.9395079595,0.1211126243,0.0647284039,0.9395079595,0.1211126243,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00219.png
baseline_B0_gaussian_threshold,0,0,220,1347,47047,46,0.0278340290,0.9669777459,0.0541105108,0.0278340290,0.9669777459,0.0541105108,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00220.png
baseline_B0_gaussian_threshold,0,0,221,6909,59774,346,0.1036096156,0.9523087526,0.1868863102,0.1036096156,0.9523087526,0.1868863102,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00221.png
baseline_B0_gaussian_threshold,0,0,222,3110,59611,264,0.0495846686,0.9217545940,0.0941069672,0.0495846686,0.9217545940,0.0941069672,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00222.png
baseline_B0_gaussian_threshold,0,0,223,1005,62497,46,0.0158262732,0.9562321598,0.0311372051,0.0158262732,0.9562321598,0.0311372051,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00223.png
baseline_B0_gaussian_threshold,0,0,224,4617,44165,414,0.0946455660,0.9177101968,0.1715942244,0.0946455660,0.9177101968,0.1715942244,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00224.png
baseline_B0_gaussian_threshold,0,0,225,3617,50124,494,0.0673042928,0.8798345901,0.1250432137,0.0673042928,0.8798345901,0.1250432137,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00225.png
baseline_B0_gaussian_threshold,0,0,226,653,59564,36,0.0108441138,0.9477503628,0.0214428792,0.0108441138,0.9477503628,0.0214428792,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00226.png
baseline_B0_gaussian_threshold,0,0,227,3356,55904,546,0.0566317921,0.8600717581,0.1062664260,0.0566317921,0.8600717581,0.1062664260,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00227.png
baseline_B0_gaussian_threshold,0,0,228,3601,45196,357,0.0737955202,0.9098029308,0.1365178656,0.0737955202,0.9098029308,0.1365178656,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00228.png
baseline_B0_gaussian_threshold,0,0,229,4115,53213,868,0.0717799330,0.8258077463,0.1320794081,0.0717799330,0.8258077463,0.1320794081,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00229.png
baseline_B0_gaussian_threshold,0,0,230,3304,43975,372,0.0698830348,0.8988030468,0.1296830537,0.0698830348,0.8988030468,0.1296830537,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00230.png
baseline_B0_gaussian_threshold,0,0,231,3764,44213,406,0.0784542593,0.9026378897,0.1443611330,0.0784542593,0.9026378897,0.1443611330,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00231.png
baseline_B0_gaussian_threshold,0,0,232,1102,24335,261,0.0433227189,0.8085106383,0.0822388060,0.0433227189,0.8085106383,0.0822388060,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00232.png
baseline_B0_gaussian_threshold,0,0,233,2235,30087,371,0.0691479488,0.8576362241,0.1279775538,0.0691479488,0.8576362241,0.1279775538,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00233.png
baseline_B0_gaussian_threshold,0,0,234,3249,41023,230,0.0733872425,0.9338890486,0.1360809198,0.0733872425,0.9338890486,0.1360809198,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00234.png
baseline_B0_gaussian_threshold,0,0,235,2439,47380,405,0.0489572252,0.8575949367,0.0926267019,0.0489572252,0.8575949367,0.0926267019,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00235.png
baseline_B0_gaussian_threshold,0,0,236,9025,53038,1049,0.1454167539,0.8958705579,0.2502183346,0.1454167539,0.8958705579,0.2502183346,./imgs_0710_2026_v1/output/traditional_baseline/primary200/resImgs/baseline_B0_gaussian_threshold_primary200_crack_00236.png
