run_id,train_size,seed,image_id,domain,tp,fp,fn,invalid_pixels,invalid_output,precision_standard,recall_standard,f1_standard,precision_legacy,recall_legacy,f1_legacy,result_image
week03_TS05_mixed_robustdomain_GP_G10000_seed42,5,42,111,thin,638,561,671,0,0,0.5321100917,0.4873949580,0.5087719298,0.5321100917,0.4873949580,0.5087719298,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed42_train_crack_00111.png
week03_TS05_mixed_robustdomain_GP_G10000_seed42,5,42,114,thin,997,659,342,0,0,0.6020531401,0.7445855116,0.6657762938,0.6020531401,0.7445855116,0.6657762938,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed42_train_crack_00114.png
week03_TS05_mixed_robustdomain_GP_G10000_seed42,5,42,119,thick,11804,2779,3919,0,0,0.8094356442,0.7507473129,0.7789876592,0.8094356442,0.7507473129,0.7789876592,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed42_train_crack_00119.png
week03_TS05_mixed_robustdomain_GP_G10000_seed42,5,42,122,thick,11583,5302,2407,0,0,0.6859934853,0.8279485347,0.7503157895,0.6859934853,0.8279485347,0.7503157895,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed42_train_crack_00122.png
week03_TS05_mixed_robustdomain_GP_G10000_seed42,5,42,126,thick,5741,3404,1510,0,0,0.6277747403,0.7917528617,0.7002927543,0.6277747403,0.7917528617,0.7002927543,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed42_train_crack_00126.png
week03_TS05_mixed_robustdomain_GP_G10000_seed43,5,43,111,thin,728,508,581,0,0,0.5889967638,0.5561497326,0.5721021611,0.5889967638,0.5561497326,0.5721021611,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed43_train_crack_00111.png
week03_TS05_mixed_robustdomain_GP_G10000_seed43,5,43,114,thin,1037,498,302,0,0,0.6755700326,0.7744585512,0.7216423104,0.6755700326,0.7744585512,0.7216423104,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed43_train_crack_00114.png
week03_TS05_mixed_robustdomain_GP_G10000_seed43,5,43,119,thick,13063,1227,2660,0,0,0.9141357593,0.8308210901,0.8704894546,0.9141357593,0.8308210901,0.8704894546,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed43_train_crack_00119.png
week03_TS05_mixed_robustdomain_GP_G10000_seed43,5,43,122,thick,12420,4392,1570,0,0,0.7387580300,0.8877769836,0.8064411402,0.7387580300,0.8877769836,0.8064411402,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed43_train_crack_00122.png
week03_TS05_mixed_robustdomain_GP_G10000_seed43,5,43,126,thick,6249,2170,1002,0,0,0.7422496734,0.8618121638,0.7975749840,0.7422496734,0.8618121638,0.7975749840,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed43_train_crack_00126.png
week03_TS05_mixed_robustdomain_GP_G10000_seed44,5,44,111,thin,762,751,547,0,0,0.5036351619,0.5821237586,0.5400425230,0.5036351619,0.5821237586,0.5400425230,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed44_train_crack_00111.png
week03_TS05_mixed_robustdomain_GP_G10000_seed44,5,44,114,thin,1042,688,297,0,0,0.6023121387,0.7781926811,0.6790485500,0.6023121387,0.7781926811,0.6790485500,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed44_train_crack_00114.png
week03_TS05_mixed_robustdomain_GP_G10000_seed44,5,44,119,thick,12170,1835,3553,0,0,0.8689753659,0.7740253132,0.8187567277,0.8689753659,0.7740253132,0.8187567277,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed44_train_crack_00119.png
week03_TS05_mixed_robustdomain_GP_G10000_seed44,5,44,122,thick,12057,3479,1933,0,0,0.7760684861,0.8618298785,0.8167039220,0.7760684861,0.8618298785,0.8167039220,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed44_train_crack_00122.png
week03_TS05_mixed_robustdomain_GP_G10000_seed44,5,44,126,thick,6579,8925,672,0,0,0.4243421053,0.9073231278,0.5782465392,0.4243421053,0.9073231278,0.5782465392,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed44_train_crack_00126.png
week03_TS05_mixed_robustdomain_GP_G10000_seed45,5,45,111,thin,746,806,563,0,0,0.4806701031,0.5699006875,0.5214959804,0.4806701031,0.5699006875,0.5214959804,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed45_train_crack_00111.png
week03_TS05_mixed_robustdomain_GP_G10000_seed45,5,45,114,thin,1064,744,275,0,0,0.5884955752,0.7946228529,0.6761995551,0.5884955752,0.7946228529,0.6761995551,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed45_train_crack_00114.png
week03_TS05_mixed_robustdomain_GP_G10000_seed45,5,45,119,thick,12754,1244,2969,0,0,0.9111301615,0.8111683521,0.8582483766,0.9111301615,0.8111683521,0.8582483766,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed45_train_crack_00119.png
week03_TS05_mixed_robustdomain_GP_G10000_seed45,5,45,122,thick,12592,3317,1398,0,0,0.7915016657,0.9000714796,0.8423024181,0.7915016657,0.9000714796,0.8423024181,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed45_train_crack_00122.png
week03_TS05_mixed_robustdomain_GP_G10000_seed45,5,45,126,thick,6201,3458,1050,0,0,0.6419919246,0.8551923873,0.7334121821,0.6419919246,0.8551923873,0.7334121821,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed45_train_crack_00126.png
week03_TS05_mixed_robustdomain_GP_G10000_seed46,5,46,111,thin,637,540,672,0,0,0.5412064571,0.4866310160,0.5124698311,0.5412064571,0.4866310160,0.5124698311,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed46_train_crack_00111.png
week03_TS05_mixed_robustdomain_GP_G10000_seed46,5,46,114,thin,998,547,341,0,0,0.6459546926,0.7453323376,0.6920943135,0.6459546926,0.7453323376,0.6920943135,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed46_train_crack_00114.png
week03_TS05_mixed_robustdomain_GP_G10000_seed46,5,46,119,thick,11884,2032,3839,0,0,0.8539810290,0.7558354004,0.8019163939,0.8539810290,0.7558354004,0.8019163939,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed46_train_crack_00119.png
week03_TS05_mixed_robustdomain_GP_G10000_seed46,5,46,122,thick,11623,3800,2367,0,0,0.7536147312,0.8308077198,0.7903308061,0.7536147312,0.8308077198,0.7903308061,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed46_train_crack_00122.png
week03_TS05_mixed_robustdomain_GP_G10000_seed46,5,46,126,thick,6646,5816,605,0,0,0.5333012358,0.9165632327,0.6742758586,0.5333012358,0.9165632327,0.6742758586,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed46_train_crack_00126.png
week03_TS05_mixed_robustdomain_GP_G10000_seed47,5,47,111,thin,693,350,616,0,0,0.6644295302,0.5294117647,0.5892857143,0.6644295302,0.5294117647,0.5892857143,./imgs_0710_2026_v1/output/train_replay_standardF1/resImgs/week03_TS05_mixed_robustdomain_GP_G10000_seed47_train_crack_00111.png
