run_id,train_size,seed,eval_size,standard_simple_sum,standard_mean_f1,standard_std_f1,standard_min_f1,standard_max_f1,standard_mean_thin,standard_mean_thick,standard_lower_tail_thin,standard_lower_tail_thick,standard_robust_thin,standard_robust_thick,standard_robust_final_mean,standard_robust_score,legacy_simple_sum,legacy_mean_f1,legacy_std_f1,legacy_min_f1,legacy_max_f1,legacy_mean_thin,legacy_mean_thick,legacy_lower_tail_thin,legacy_lower_tail_thick,legacy_robust_thin,legacy_robust_thick,legacy_robust_final_mean,legacy_robust_score,n_thin,n_thick,k_thin,k_thick,invalid_output_images,elapsed_sec,tree_file
week03_TS05_mixed_robustdomain_GP_G10000_seed42,5,42,5,3.4041444267,0.6808288853,0.0945225829,0.5087719298,0.7789876592,0.5872741118,0.7431987343,0.5872741118,0.7431987343,0.5872741118,0.7431987343,0.6184590363,3.0922951816,3.4041444267,0.6808288853,0.0945225829,0.5087719298,0.7789876592,0.5872741118,0.7431987343,0.5872741118,0.7431987343,0.5872741118,0.7431987343,0.6184590363,3.0922951816,2,3,2,3,0,0.2433812000,./imgs_0710_2026_v1/input/test/elite_tree_gp/week03_TS05_mixed_robustdomain_GP_G10000_seed42_printed_tree_sys.txt
week03_TS05_mixed_robustdomain_GP_G10000_seed43,5,43,5,3.7682500503,0.7536500101,0.1023248522,0.5721021611,0.8704894546,0.6468722357,0.8248351929,0.6468722357,0.8248351929,0.6468722357,0.8248351929,0.6824648272,3.4123241359,3.7682500503,0.7536500101,0.1023248522,0.5721021611,0.8704894546,0.6468722357,0.8248351929,0.6468722357,0.8248351929,0.6468722357,0.8248351929,0.6824648272,3.4123241359,2,3,2,3,0,0.1242846000,./imgs_0710_2026_v1/input/test/elite_tree_gp/week03_TS05_mixed_robustdomain_GP_G10000_seed43_printed_tree_sys.txt
week03_TS05_mixed_robustdomain_GP_G10000_seed44,5,44,5,3.4327982619,0.6865596524,0.1163348735,0.5400425230,0.8187567277,0.6095455365,0.7379023963,0.6095455365,0.7379023963,0.6095455365,0.7379023963,0.6352169085,3.1760845424,3.4327982619,0.6865596524,0.1163348735,0.5400425230,0.8187567277,0.6095455365,0.7379023963,0.6095455365,0.7379023963,0.6095455365,0.7379023963,0.6352169085,3.1760845424,2,3,2,3,0,0.2748821000,./imgs_0710_2026_v1/input/test/elite_tree_gp/week03_TS05_mixed_robustdomain_GP_G10000_seed44_printed_tree_sys.txt
week03_TS05_mixed_robustdomain_GP_G10000_seed45,5,45,5,3.6316585124,0.7263317025,0.1227780552,0.5214959804,0.8582483766,0.5988477678,0.8113209923,0.5988477678,0.8113209923,0.5988477678,0.8113209923,0.6413424127,3.2067120634,3.6316585124,0.7263317025,0.1227780552,0.5214959804,0.8582483766,0.5988477678,0.8113209923,0.5988477678,0.8113209923,0.5988477678,0.8113209923,0.6413424127,3.2067120634,2,3,2,3,0,0.2528293000,./imgs_0710_2026_v1/input/test/elite_tree_gp/week03_TS05_mixed_robustdomain_GP_G10000_seed45_printed_tree_sys.txt
week03_TS05_mixed_robustdomain_GP_G10000_seed46,5,46,5,3.4710872031,0.6942174406,0.1041836950,0.5124698311,0.8019163939,0.6022820723,0.7555076862,0.6022820723,0.7555076862,0.6022820723,0.7555076862,0.6329271950,3.1646359752,3.4710872031,0.6942174406,0.1041836950,0.5124698311,0.8019163939,0.6022820723,0.7555076862,0.6022820723,0.7555076862,0.6022820723,0.7555076862,0.6329271950,3.1646359752,2,3,2,3,0,0.2656285000,./imgs_0710_2026_v1/input/test/elite_tree_gp/week03_TS05_mixed_robustdomain_GP_G10000_seed46_printed_tree_sys.txt
week03_TS05_mixed_robustdomain_GP_G10000_seed47,5,47,5,3.7444541842,0.7488908368,0.0981233512,0.5892857143,0.8517752269,0.6375311010,0.8231306608,0.6375311010,0.8231306608,0.6375311010,0.8231306608,0.6746510129,3.3732550647,3.7444541842,0.7488908368,0.0981233512,0.5892857143,0.8517752269,0.6375311010,0.8231306608,0.6375311010,0.8231306608,0.6375311010,0.8231306608,0.6746510129,3.3732550647,2,3,2,3,0,0.3080343000,./imgs_0710_2026_v1/input/test/elite_tree_gp/week03_TS05_mixed_robustdomain_GP_G10000_seed47_printed_tree_sys.txt
week03_TS10_mixed_robustdomain_GP_G10000_seed42,10,42,10,6.4747112541,0.6474711254,0.1398241306,0.4180824838,0.8326241135,0.5844192365,0.6895057180,0.5434256939,0.5744719096,0.5721211737,0.6549955755,0.5886960540,5.8869605405,6.4747112541,0.6474711254,0.1398241306,0.4180824838,0.8326241135,0.5844192365,0.6895057180,0.5434256939,0.5744719096,0.5721211737,0.6549955755,0.5886960540,5.8869605405,4,6,3,3,0,0.3833468000,./imgs_0710_2026_v1/input/test/elite_tree_gp/week03_TS10_mixed_robustdomain_GP_G10000_seed42_printed_tree_sys.txt
week03_TS10_mixed_robustdomain_GP_G10000_seed43,10,43,10,5.8918867193,0.5891886719,0.1504834255,0.3085880640,0.7870525727,0.4770701554,0.6639343496,0.4363056705,0.5697685773,0.4648408099,0.6356846180,0.4990095715,4.9900957151,5.8918867193,0.5891886719,0.1504834255,0.3085880640,0.7870525727,0.4770701554,0.6639343496,0.4363056705,0.5697685773,0.4648408099,0.6356846180,0.4990095715,4.9900957151,4,6,3,3,0,0.3659256000,./imgs_0710_2026_v1/input/test/elite_tree_gp/week03_TS10_mixed_robustdomain_GP_G10000_seed43_printed_tree_sys.txt
week03_TS10_mixed_robustdomain_GP_G10000_seed44,10,44,10,6.1559040653,0.6155904065,0.1773667831,0.3536971831,0.8556065574,0.5292975255,0.6731189939,0.4882256111,0.5248698117,0.5169759512,0.6286442392,0.5393096088,5.3930960878,6.1559040653,0.6155904065,0.1773667831,0.3536971831,0.8556065574,0.5292975255,0.6731189939,0.4882256111,0.5248698117,0.5169759512,0.6286442392,0.5393096088,5.3930960878,4,6,3,3,0,0.3550420000,./imgs_0710_2026_v1/input/test/elite_tree_gp/week03_TS10_mixed_robustdomain_GP_G10000_seed44_printed_tree_sys.txt
week03_TS10_mixed_robustdomain_GP_G10000_seed45,10,45,10,6.8390783133,0.6839078313,0.2136974315,0.1741935484,0.9429052986,0.4721335396,0.8250906925,0.4122320122,0.7754811370,0.4541630814,0.8102078258,0.5253720303,5.2537203028,6.8390783133,0.6839078313,0.2136974315,0.1741935484,0.9429052986,0.4721335396,0.8250906925,0.4122320122,0.7754811370,0.4541630814,0.8102078258,0.5253720303,5.2537203028,4,6,3,3,0,0.2365093000,./imgs_0710_2026_v1/input/test/elite_tree_gp/week03_TS10_mixed_robustdomain_GP_G10000_seed45_printed_tree_sys.txt
